Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",0402,2,15pF,
"C103, C105, C106, C107, C108, C109, C110, C111, C112, C113, C115, C117, C119, C121, C123, C126",0402,16,100nF,
"C104, C114, C116, C118, C120, C122, C127",0402,7,1uF,
C124,0402,1,2.2uF,
C125,0402,1,10nF,
"C128, C132",0603,2,100nF,
"C129, C133",0603,2,1uF,
CARD101,TF-SMD_TF-PUSH,1,TF PUSH,C393941
CN101,CONN-TH_XT30PW-M,1,XT30PW-M,C431092
R101,0402,1,1k,
R102,0402,1,DNF,
"R104, R105, R106, R107, R108, R109",0402,6,10k,
U101,LQFN-56_L7.0-W7.0-P0.4-EP,1,RP2040,C2040
U102,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,
U103,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-42688-P,C1850418
"U104, U105",SOT-23-5,2,MIC5219-3.3YM5,C29613
U106,SOT-223-3_TabPin2,1,AMS1117-5.0,
U107,CONN-SMD_S4B-XH-SM4-TB-LF-SN,1,S4B-XH-SM4-TB-,C161861
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
