Designator,Mid X,Mid Y,Rotation,Layer
C101,132.6,-119.575,0.0,top
C102,130.25,-118.325,90.0,top
C103,130.275,-99.1,0.0,top
C104,136.775,-117.35,180.0,top
C105,136.775,-116.325,180.0,top
C106,136.775,-115.3,180.0,top
C107,138.59,-106.625,90.0,top
C108,137.395,-105.275,0.0,top
C109,128.8,-111.575,270.0,top
C110,139.075,-111.075,0.0,top
C111,139.075,-112.075,0.0,top
C112,129.825,-114.725,0.0,top
C113,128.825,-106.995,90.0,top
C114,127.75,-107.0,90.0,top
C115,129.0625,-119.715,0.0,top
C116,129.0625,-120.675,0.0,top
C117,123.3875,-122.1,270.0,top
C118,123.3875,-120.275,90.0,top
C119,129.0875,-116.95,0.0,top
C120,129.0875,-115.95,0.0,top
C121,123.3875,-116.5375,90.0,top
C122,123.3875,-118.35,270.0,top
C123,124.09,-108.275,90.0,top
C124,125.115,-108.275,90.0,top
C125,126.14,-108.275,90.0,top
C126,139.625,-116.155,270.0,bottom
C127,141.775,-116.155,270.0,bottom
C128,124.275,-129.7875,270.0,top
C129,124.3,-125.8375,90.0,top
C132,132.45,-121.7625,180.0,top
C133,135.65,-122.5375,270.0,top
CARD101,142.9,-108.4375,180.0,bottom
CN101,144.0875,-125.4,90.0,top
R101,135.025,-116.9,90.0,top
R102,125.735,-99.1,0.0,top
R104,145.15,-116.155,270.0,bottom
R105,144.0,-116.155,270.0,bottom
R106,142.85,-116.155,270.0,bottom
R107,137.4,-116.155,270.0,bottom
R108,138.55,-116.155,270.0,bottom
R109,140.7,-116.155,270.0,bottom
U101,133.675,-110.075,0.0,top
U102,127.925,-102.525,0.0,top
U103,125.115,-110.85,180.0,top
U104,125.9625,-120.1125,0.0,top
U105,125.9625,-116.45,0.0,top
U106,130.0,-126.5875,180.0,top
U107,146.6,-109.8,90.0,top
Y101,132.6,-116.9,90.0,top
